ZipCode,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,PerCapitaIncome,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree,loc_name,product_name,price_current,Midgrade,Premium,Regular
90059,41315,10681,9890,830,96,30012,10,15108,4700,17746.0,29.2,27.8,30.5,5463,5045,7989,5323,1403,1693,ARCO,Regular,5.59,3.874411764705882,3.9517647058823533,3.9029411764705877
90068,21127,16345,1219,39,1479,2518,8,607,1430,92390.0,43.1,43.0,43.3,153,506,1767,4051,721,7536,ARCO,Regular,5.61,5.9157142857142855,6.032666666666667,5.694
90077,7729,6079,133,0,581,449,0,111,825,144831.0,47.5,49.4,47.0,11,340,493,638,150,1899,Chevron,Regular,6.25,4.9325,5.0633333333333335,5.101904761904762
90220,51480,10517,15031,371,550,33772,34,18040,6937,21678.0,33.0,31.8,34.6,6888,4370,11068,8414,2055,2853,ARCO,Regular,5.35,3.411964285714286,3.71875,4.065789473684211
90221,50660,12146,10352,232,600,38927,148,18871,8311,19223.0,33.0,32.2,34.2,8402,5674,10967,7700,1529,2269,Speedway Express,Regular,5.49,2.915813953488372,2.989767441860465,3.728604651162791
90240,26590,12942,861,337,2175,18947,0,6602,3673,36150.0,37.7,37.4,37.9,1739,1296,5186,4570,1642,3638,ARCO,Regular,5.85,4.275087719298246,4.266034482758621,4.4935593220338985
90241,44701,21722,1074,468,3102,32971,23,12456,5856,32526.0,35.7,34.0,37.7,3355,3038,8793,8953,2161,6162,Mobil,Regular,5.97,3.822222222222222,1.9055555555555554,4.365555555555556
90242,43002,16686,2136,408,2399,32838,231,15817,5325,28404.0,35.1,34.5,35.7,3562,2725,9156,7829,2914,4873,76,Regular,0.0,3.7685714285714282,3.4121428571428574,4.075
90245,17243,11823,805,20,1857,2787,0,465,2273,64345.0,36.8,35.7,38.7,117,274,1753,3057,910,4696,76,Regular,5.87,5.533023255813954,5.653023255813954,5.480232558139535
90247,48646,9678,7604,310,12333,24719,13,13593,5115,27472.0,37.6,36.9,38.8,4661,3689,9499,9652,2740,6311,Chevron,Regular,6.29,6.071875,5.431875,5.50625
90248,11472,2055,1951,71,3906,4192,44,2441,1004,33797.0,45.1,42.6,47.9,702,686,2403,2132,616,2246,Shell,Regular,5.99,4.37,4.47375,4.23375
90254,19787,15443,108,20,1478,2444,0,424,2314,98237.0,40.5,40.8,40.0,120,244,1075,1736,610,7953,76,Regular,6.09,5.813684210526316,5.934102564102564,5.601794871794872
90263,1913,1063,210,0,397,352,11,61,171,12981.0,19.8,19.8,19.8,0,0,264,1506,28,53,Chevron,Regular,6.19,5.392434782608696,5.55344827586207,5.410431034482759
90265,16868,13208,168,18,872,2087,27,850,1725,108234.0,49.4,50.7,48.7,110,317,1096,2707,779,4800,Shell,Regular,5.79,5.435806451612903,5.5528571428571425,5.546507936507937
90272,21282,18150,95,14,1546,1068,4,125,1348,137282.0,46.6,44.9,47.5,69,283,1009,1868,587,5845,Mobil,Regular,5.99,6.074285714285715,6.202857142857143,5.8742857142857146
90274,24890,16547,744,11,5788,1609,0,136,1664,101720.0,51.0,51.4,50.5,82,240,1430,2638,895,7851,ARCO,Regular,5.35,4.727341772151899,4.846835443037975,4.856962025316456
90275,42417,22592,723,131,13151,4396,14,1286,4520,75837.0,49.7,48.9,50.4,278,569,3425,5422,2136,11521,Noil,Diesel,0.0,0.0,0.0,1.9633333333333332
90290,5114,4386,87,0,233,498,0,132,276,78571.0,45.7,45.6,45.9,14,133,388,822,142,1133,7-Eleven,Regular,5.59,5.8914285714285715,6.039285714285714,5.666428571428571
90601,30955,13083,260,716,2142,21105,24,11463,3267,37298.0,39.6,38.9,40.1,1461,1517,6670,6214,2152,4335,ARCO,Regular,5.39,3.9664462809917356,4.097685950413223,4.464876033057851
90602,25907,9492,523,209,724,18977,6,12282,2671,25094.0,34.3,33.8,34.7,1122,1592,6778,5123,1606,2008,Chevron,Regular,5.89,4.371388888888889,4.242105263157894,4.1284210526315785
90603,21236,11754,124,185,1171,12617,153,4856,2993,42284.0,40.5,40.7,40.4,589,549,4089,4545,1332,3379,76,Regular,0.0,5.018,5.2402,5.117058823529412
90604,39926,17376,257,421,2798,27277,26,14926,4122,31404.0,35.2,35.4,35.0,1265,2059,10136,8180,2369,4084,76,Regular,0.0,4.3325000000000005,4.4158333333333335,4.168333333333334
90620,47104,21260,743,512,14032,16730,96,4764,5697,35262.0,37.2,36.2,38.4,1762,2280,8709,9540,3239,8044,Mobil,Regular,6.09,5.187142857142858,5.298571428571429,5.372285714285714
90621,36385,12955,1471,530,13111,15873,83,5326,2909,30009.0,35.9,33.8,38.2,2262,2146,6475,6982,2398,5681,Sinclair,Regular,5.39,5.685555555555556,5.806,5.476
90623,15703,5209,722,42,7520,3086,0,711,1499,41514.0,44.2,43.7,44.6,305,339,2358,2827,1103,3760,Shell,Regular,5.79,3.2235,3.2835,3.3954999999999997
90631,69601,34538,1600,662,8853,39777,30,16049,7869,38250.0,37.7,35.9,39.5,3564,3285,12328,14086,5136,9771,76,Regular,0.0,4.970967741935484,5.244193548387097,4.982903225806451
90640,62941,25535,615,838,8087,50141,74,21252,6540,27439.0,37.4,36.0,38.6,5533,6273,13325,11385,3329,6845,Chevron,Regular,0.0,2.334,3.6439999999999997,3.374
90680,30500,11845,556,192,8404,15117,147,6506,2850,32074.0,36.6,36.1,37.5,2711,2747,6122,5291,1527,3426,Mobil,Regular,5.99,5.800000000000001,6.042380952380952,5.722857142857142
90701,16390,4019,1143,127,6409,5576,487,3145,1060,27860.0,38.4,38.5,38.3,1253,1426,3132,2351,1056,2693,Mobil,Regular,5.89,5.961666666666667,5.533846153846154,5.676153846153847
90704,3940,3294,6,0,27,1774,1,148,464,41083.0,45.2,47.6,44.3,256,171,773,794,509,549,Sherrill's Marine Service,Regular,0.0,0.0,0.0,0.0
90712,31701,15101,3325,147,5717,10557,42,4075,3294,40742.0,37.6,37.2,38.3,670,834,5220,6491,2966,5940,76,Regular,5.73,4.7996,5.1619230769230775,5.335
90713,29113,16378,1505,249,4040,8432,250,2692,3999,42822.0,39.9,39.0,41.1,863,876,5433,6635,2446,4804,76,Regular,5.83,4.6,4.76,5.654
90715,21174,6716,2199,125,5274,9070,327,4687,1846,29883.0,37.2,36.5,38.8,1326,1028,4143,4271,1875,3333,ARCO,Regular,5.45,5.6,5.7,5.4
90720,23660,16277,817,40,2674,5344,114,1381,2357,54649.0,44.0,40.5,45.0,395,591,2842,3848,1523,5695,76,Regular,5.99,5.716,5.428125,5.4925
90731,62647,35222,3182,592,3829,36137,262,10994,8566,33971.0,37.6,36.9,38.4,3862,5285,12675,12767,3649,7141,Rocket Oil,Regular,5.49,4.06875,4.3365625,4.2921875
90740,24721,18896,549,95,3084,2930,68,454,1575,61141.0,59.4,55.6,63.5,504,911,2895,4564,2113,6357,Berri Brothers,Regular,5.49,5.094489795918367,5.0734,5.0158
90742,470,403,0,12,0,65,25,5,25,98060.0,57.5,57.6,57.4,14,0,61,75,9,155,Chevron,Regular,5.99,5.258918918918919,5.375135135135135,5.065945945945946
90743,487,415,0,0,42,41,0,0,30,54571.0,55.6,55.9,55.5,9,0,33,50,57,154,ARCO,Regular,5.59,0.0,2.875,5.54
90744,57030,32793,1689,461,2025,50620,289,14708,5065,20651.0,31.6,30.7,32.4,8400,6705,11659,8306,2319,2340,76,Regular,5.74,5.9775,6.09,5.8025
91001,36867,16400,8717,394,1903,11574,36,5478,3939,56143.0,44.6,43.4,47.0,1728,1114,4485,6420,2452,6728,ARCO,Regular,5.59,4.854626865671642,4.946417910447762,4.9308955223880595
91006,32499,9062,384,80,18417,5764,124,1660,2772,50749.0,43.0,43.4,42.7,803,874,4359,4027,2101,8144,World,Regular,5.69,4.880921052631579,4.53038961038961,5.042857142857143
