RecordID,ZipCode,City,County,State,Latitude,Longitude,DominantAreaCode,ResidentialDeliveries,ResidentialPOBoxes,BusinessDeliveries,BusinessPOBoxes,LastLineIndicator,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,MedianHouseholdIncome,PerCapitaIncome,MedianHomeValue,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree
605,92692,SAN JUAN CAPISTRANO,ORANGE,CA,33.6123,-117.6441,949,18230,0,458,0,,46240,32894,464,63,7017,7508,33,1728,4041,128194,58670,1111000,47.5,46.3,49.2,936,1100,5549,7597,3128,12215
606,92694,LADERA RANCH,ORANGE,CA,33.5515,-117.6364,949,13599,0,367,0,L,34879,25590,370,117,4726,3821,128,646,3302,165290,66177,1258500,35.2,33.9,35.7,214,674,2212,4349,1377,9020
607,92694,MISSION VIEJO,ORANGE,CA,33.5515,-117.6364,949,13599,0,367,0,,34879,25590,370,117,4726,3821,128,646,3302,165290,66177,1258500,35.2,33.9,35.7,214,674,2212,4349,1377,9020
608,92694,RAN MSN VIEJO,ORANGE,CA,33.5515,-117.6364,949,13599,0,367,0,,34879,25590,370,117,4726,3821,128,646,3302,165290,66177,1258500,35.2,33.9,35.7,214,674,2212,4349,1377,9020
609,92694,RANCHO MISSION VIEJO,ORANGE,CA,33.5515,-117.6364,949,13599,0,367,0,,34879,25590,370,117,4726,3821,128,646,3302,165290,66177,1258500,35.2,33.9,35.7,214,674,2212,4349,1377,9020
610,92701,SANTA ANA,ORANGE,CA,33.7481,-117.8613,714,12941,0,2136,0,L,49008,12063,344,682,2234,42437,131,30394,3160,57796,19887,716500,30.2,29.4,31.1,7928,5059,9426,6766,1498,2576
611,92703,BRISTOL,ORANGE,CA,33.7485,-117.9054,714,14023,410,1036,69,,64387,14021,558,503,10522,49914,147,32975,5661,71807,20275,739000,32.9,31.8,34.4,10363,8289,13414,9735,1875,4272
612,92703,SANTA ANA,ORANGE,CA,33.7485,-117.9054,714,14023,410,1036,69,L,64387,14021,558,503,10522,49914,147,32975,5661,71807,20275,739000,32.9,31.8,34.4,10363,8289,13414,9735,1875,4272
613,92704,DIAMOND,ORANGE,CA,33.7213,-117.9071,714,20336,135,2275,22,,79641,23753,749,510,15405,55237,111,32728,6385,80902,26445,804000,35.0,35.3,34.5,11033,7985,14365,12902,3421,8392
614,92704,FOUNTAIN VALLEY,ORANGE,CA,33.7213,-117.9071,714,20336,135,2275,22,,79641,23753,749,510,15405,55237,111,32728,6385,80902,26445,804000,35.0,35.3,34.5,11033,7985,14365,12902,3421,8392
615,92704,SANTA ANA,ORANGE,CA,33.7213,-117.9071,714,20336,135,2275,22,L,79641,23753,749,510,15405,55237,111,32728,6385,80902,26445,804000,35.0,35.3,34.5,11033,7985,14365,12902,3421,8392
616,92705,COWAN HEIGHTS,ORANGE,CA,33.7555,-117.8241,714,16309,0,4472,0,,47851,26345,856,162,4773,22638,17,10905,4793,119260,50467,1464000,37.9,35.6,39.5,2034,2213,7099,7397,2228,9110
